Marathi_Word,Frequency
गटांत,2
मेलो,2
अर्धे,2
मश्को,2
बटालिक,2
पोल्स,2
युरेका,2
अतिउंचीवर,2
आईस,2
ब्युरो,2
वाहते,2
गेम,2
हिवाळ्याच्या,2
४४१,2
वारकऱ्यांच्या,2
मैदानांवर,2
रहाण्यास,2
वळले,2
चौक्यांमध्ये,2
बांधलेले,2
कॅटिच,2
देवगड,2
सोलापूरच्या,2
एकादशीला,2
मळे,2
गाफील,2
नौकांमधील,2
सर्वांचा,2
एकादश्यांना,2
५संदर्भ,2
पुलाजवळ,2
लागवडीसाठी,2
६३८,2
हैदराबादला,2
अरिडिअस,2
स्थापत्यशास्त्रीय,2
पश्चात,2
एकवाक्यता,2
लोहमार्गावरील,2
ऑस्ट्रेलियाचे,2
पंडरगे,2
तुलागीवरील,2
पुरूची,2
ग्रेगरी,2
पुंडरीकपूर,2
ब्रेट,2
शीगेयोशी,2
४च्या,2
कल्पनेत,2
पैलतीरावर,2
९१७,2
सामंतशाही,2
एकमेकांस,2
ठरल्याप्रमाणे,2
कमळ,2
छतास,2
परतली,2
वास्तूची,2
बेळगावचा,2
चढवणे,2
दाभाडे,2
महासंघाचे,2
राजाने,2
एकमत,2
फाशीची,2
द्वारकानाथ,2
विकेंद्रित,2
दुथडी,2
सौंदत्ती,2
ज्वालामुखीचा,2
सनरायझर्स,2
फ्रॅंकफर्ट,2
सरसावली,2
गुणोत्तर,2
मंदिरामुळे,2
ताकेओ,2
कियोहिदे,2
६५६,2
काशी,2
९६६,2
कवायती,2
उंचावले,2
होण्यापूर्वी,2
सॅलिसबरी,2
युद्धसामग्री,2
विद्यापीठाचा,2
ओटो,2
स्फूर्तिस्थान,2
यामागे,2
उल,2
नौकांचा,2
दोनदा,2
वादळात,2
करण्याचाही,2
६७८,2
ए६एम,2
येताना,2
मोरेस्बीतील,2
खिंडी,2
भूप्रदेश,2
येण्याचा,2
उत्तरोत्तर,2
पसार,2
वारकऱ्यांचे,2
अद्याप,2
नियोशोकडून,2
टिप्परकनू,2
झडली,2
कॉसॅक,2
अरितोमो,2
रुतून,2
ॲडव्हान्स्ड,2
चुइची,2
पाणबुड्यांना,2
बसल्या,2
शिवणे,2
बंदराजवळ,2
मुसी,2
मोरेस्बीजवळ,2
प्रख्यात,2
जवळपासच,2
विवानौकाही,2
विवानौकेवरील,2
अधिकाऱ्यांच्या,2
समुद्रीविमानसेवक,2
पाणबुडीवर,2
प्रवेशद्वाराला,2
ठोस,2
वकीलपत्र,2
संपूर्णपणे,2
रांगेत,2
इंधनभरती,2
बेळगावी,2
फतेह,2
पृथ्वीसारखेच,2
पठारी,2
वाहिनीवर,2
दिल्लीहून,2
लेख२००९,2
तांड्याकडे,2
हुतात्मे,2
सिल्व्हर,2
तुकडीला,2
झेन,2
५१६,2
पुरुषांमागे,2
नौकांसह,2
पटली,2
हक,2
उपाहारगृहे,2
मल्याळी,2
त्याच्यापासून,2
भेटीस,2
आक्रमकांचा,2
उत्तरेच्या,2
चढवण्याचा,2
नेहरूंना,2
सूर्याचा,2
ओम,2
विरोधामुळे,2
भाषक,2
फुरुताका,2
बी५एन,2
उपखंडाच्या,2
घाटाला,2
तात्कालिन,2
नव्हताच,2
मरीनर,2
यासुमारास,2
कथेवर,2
परावृत्त,2
रंगारेड्डी,2
नेहरूंचे,2
एकजण,2
सिकंदरच्या,2
विवा,2
पिटाळले,2
जोमार्डच्या,2
आणायची,2
समैलावर,2
निखर्व,2
मगरपट्टा,2
पदवीधर,2
क्षेत्रलपविलेले,2
मोरेस्बीकडे,2
पेर्डिक्कस,2
रिचविली,2
कॅंटोन्मेंट,2
मेलाच,2
ताकागीलाही,2
होण्यात,2
प्रसारमाध्यमे,2
बेळगावच्या,2
बोलणाऱ्यांची,2
हंगामी,2
महमद,2
महंमद,2
यादवांनी,2
खुर्द,2
बॅगा,2
चालवण्यात,2
परांबीकुलम,2
लोकवस्ती,2
लोकसंख्येनुसार,2
प्रदेशातून,2
वारशाची,2
जपणूक,2
पश्चिमवाहिनी,2
आक्रमकांना,2
वैमानिकाला,2
सैनिकांचे,2
रसदपुरवठा,2
हेन्,2
राज्यांचा,2
चार्ली,2
री,2
ओलांडल्यावर,2
फ्लेचरवर,2
दमट,2
डोईशलॅंड,2
कप्तान,2
सगळ्यांचा,2
वादळी,2
राज्यापेक्षा,2
देशांपैकी,2
औषधनिर्मिती,2
दग्धभू,2
अंभी,2
शरावती,2
दुसऱ्यात,2
उत्सर्जनाने,2
ऑफिसर्स,2
१००१,2
सेल्युकसच्या,2
५१२,2
रूपयांची,2
माडीवाले,2
बावधन,2
उप्पलचे,2
तीर,2
परतण्याची,2
निर्यातदार,2
१७चा,2
एकनाथांचे,2
धाडल्या,2
इनोउकडे,2
अधिकारातील,2
राजांच्या,2
संपत्तीची,2
मोकळा,2
वाईन,2
जारी,2
इसोरोकु,2
नेपोलियनचे,2
वडिलांना,2
रॉक्सेनच्या,2
पल्ला,2
पुरणपोळी,2
इजा,2
कोणाशीही,2
खुद्द,2
उत्पन्नापैकी,2
भीमाशंकरावर,2
पावलेली,2
आखण्यात,2
बाजरी,2
उद्रेक,2
२६९५,2
निलगिरीच्या,2
शकल्या,2
जिल्ह्यांचे,2
सेनापतींची,2
पुरस्कृत,2
लहानमोठ्या,2
गिनीवर,2
आयुका,2
नुकतीच,2
पक्षपाती,2
मिळाल्यावर,2
पुरा,2
टेररिस्ट्स,2
वाचवणे,2
पडल्यानंतर,2
जर्मानिक,2
तटावर,2
कार्यप्रणाली,2
शूर,2
जिल्ह्याची,2
५ला,2
मॉन्स,2
नेतृत्वात,2
स्मोलेन्स्क,2
डोंगररांगेत,2
भिवरा,2
प्रांतांमधून,2
सह्यवासी,2
आधीचे,2
हैदराबादमध्ये,2
प्रांतातून,2
सांगते,2
जनाबाई,2
ऑलिम्पस,2
गुरव,2
मागास,2
जंगलांचा,2
ऑस्ट्रेलियातील,2
मानवाने,2
समुद्रमार्गाने,2
फुलझाडे,2
उरणार,2
कुठलाही,2
तांड्याच्या,2
बांधणे,2
सांगून,2
जहाजांचे,2
चरणीच्या,2
उच्चाधिकाऱ्यांनी,2
भूसैन्याच्या,2
१८५०,2
गुआम,2
दऱ्या,2
बियास,2
बिर्याणी,2
संमती,2
पंढरपुराजवळ,2
द्वीपे,2
सेक्टर,2
नौरू,2
परतीचा,2
द्राक्षे,2
अंतरामध्ये,2
अर्धवर्तुळाकार,2
जवळील,2
माहात्मेय,2
कांदा,2
गाठण्यासाठी,2
पंचक्रोशीतील,2
१०पर्यंत,2
आयलंड,2
घोडदळाचे,2
तांड्याचा,2
ऑस्ट्रेलियातून,2
तुटली,2
महाद्वारात,2
सामोआ,2
राज्यांशी,2
नेपोलियनला,2
देवराव,2
२९ला,2
उपाध्याय,2
फिरले,2
हिंगणे,2
१८०६,2
उसासे,2
संप्रदायाच्या,2
घोषवाक्यात,2
हेफेस्टियनच्या,2
नौकेवरील,2
गिनीच्या,2
अभियान,2
उतरवल्या,2
नॉटच्या,2
मैलांचा,2
८४०,2
अमीरपेट,2
पुंडलिक,2
वरदा,2
लांबीचे,2
तीर्थदेवता,2
क्षेत्रदेवता,2
मंत्रातही,2
रामकृष्णहरि,2
सामोपचाराने,2
पडल्याचे,2
काशिनाथ,2
लेखाच्या,2
भीमेच्या,2
लढण्याची,2
शिमाचा,2
तुलागीकडे,2
द्वीपांतील,2
इनोऊच्या,2
आरमारातील,2
गुप्तचर,2
उस्मान,2
ट्रुकला,2
रबौलहून,2
पूर्वमुखी,2
लोणावळा,2
इयत्ता,2
बिनतारी,2
मारू,2
कामिकावा,2
खात्याने,2
मरुमो,2
पश्चिमाभिमुखी,2
कासारवाडी,2
हरिमूर्ती,2
ज्वलनाने,2
सुरूंगपेरक,2
तुळपुळे,2
वाऱ्यांना,2
इथला,2
हाल्सीला,2
निवडणुकांनंतर,2
अण्णासाहेब,2
कन्यांशी,2
रक्षाकवच,2
डोनाउ,2
लग्ने,2
हॉर्नेट,2
एंटरप्राइझ,2
पोचणे,2
मंगळावरच,2
झडप,2
चिनाब,2
नेहरूनगर,2
तोपर्यंतच्या,2
फिचकडे,2
व्यक्तीलपविलेले,2
हुसेनसागर,2
वर्षांपेक्षा,2
समाजसेवकइ,2
बसगाड्या,2
तांड्यात,2
घराबाहेर,2
सुसाला,2
१नावाचा,2
फ्रांक,2
दिसता,2
सॅक्सन,2
मोरेस्बीच्या,2
खाडी,2
जोमार्ड,2
लुईझिएड,2
नौकेला,2
हैदराबादहून,2
प्रांताचा,2
राज्यही,2
निःपक्षपाती,2
विचाराने,2
पवारांनी,2
संपल्यानंतर,2
हटवू,2
गेटजवळ,2
नेमकी,2
विजयाच्या,2
शिलालेखाच्या,2
विवानौकेला,2
उद्योगाच्या,2
११११,2
बुडत,2
मॅकआर्थरला,2
पाचारण,2
क्षेत्रफळावर,2
१५वा,2
डावीकडील,2
सैन्यानेही,2
चालवून,2
उडी,2
आर्म्ड,2
पर्शियाचा,2
शोधमोहीम,2
मुळशी,2
पर्सिस्टंट,2
इंधनसाठा,2
आपल्याकडील,2
अडसर,2
वाचवण्यात,2
स्वारीचे,2
केर,2
असणाऱ्यांना,2
हकीगत,2
२प्रागैतिहासिक,2
नियोशोने,2
सिमन्ड्स,2
मैलांचे,2
काळजीपूर्वक,2
असंतोष,2
आकाशातून,2
ओव्यांचा,2
सहानूभूती,2
अंतर्भागात,2
खेळाडूभारताचे,2
जागतिकीकरणात,2
पार्साच्या,2
परिघात,2
मैलांच्या,2
दीपा,2
व्यवस्थापनाची,2
सजावट,2
बसस्थानक,2
तापमानवाढी,2
फोर्सेस,2
रहिवाशांना,2
सिस्टम्स,2
लॅंडरला,2
धन्वंतरी,2
मागण्यासाठी,2
ग्रीनलॅंडमधील,2
अंटार्टिका,2
८बाह्य,2
घटनांचे,2
माध्यमांचा,2
मशीद,2
आर्टिक,2
ताथवडे,2
धुमश्चक्री,2
पक्षांना,2
प्रदेशासाठी,2
भुई,2
पळता,2
उडू,2
मोहीमेसाठी,2
स्थानाचा,2
वैमानिकांना,2
वाहतुकीचे,2
दमलेल्या,2
खटके,2
कॉमर्स,2
मोहिमेबद्दल,2
माडखोलकरांनी,2
सव्वातीन,2
आखाती,2
विवानौकांचा,2
गुंतवणुकीचा,2
खळबळ,2
पारिभाषिक,2
नसताना,2
आशियाकडील,2
आखला,2
३मोठी,2
शेजघर,2
अन्नाच्या,2
सुचवणे,2
बृहन्महाराष्ट्र,2
नेहरुंना,2
महाराजांना,2
तोफांच्या,2
अधिवेशनाच्या,2
एकटा,2
भारतीयांमध्ये,2
घिरट्या,2
उतरण्यासाठी,2
ऐक्याची,2
दिसल्यावर,2
पॉलीटेक्निक,2
चळवळीविषयी,2
आगीत,2
विमानतळास,2
मसलत,2
अरेबिया,2
जसजसे,2
थव्याने,2
लोकसंख्येचा,2
घाटांचा,2
प्रांतरचनेच्या,2
सरळसरळ,2
दाखवला,2
देवळास,2
यासह,2
कर्नाटकमधील,2
जळून,2
ह्यासाठी,2
मुख्या,2
महाराष्ट्रापासून,2
वास्तुकलेनुसार,2
भाषणे,2
पियुष,2
१भौतिक,2
भिडे,2
शोकाकुच्या,2
१८७०,2
महाविद्यालयाचे,2
तिवारी,2
पशुवैद्यकीय,2
बाकीच्या,2
शिकण्याची,2
उठावांमुळे,2
सानिया,2
लोकांत,2
पुरस्काराचे,2
शक्तीला,2
शोकाकुचे,2
पुम्बा,2
सैन्यासमवेत,2
युद्धक्षेत्रात,2
संकलन,2
लाभलेला,2
माझगाव,2
धोनी,2
मांडणी,2
बरखास्त,2
इंची,2
उद्यानासारख्या,2
साततोटी,2
लेक्झिंग्टनला,2
फटके,2
काहींची,2
फळ्या,2
तोफांनी,2
पोषक,2
यॉर्कटाउनच्या,2
नौरोसजी,2
शुक्ला,2
धाडीत,2
शिगेकाझु,2
रायसोनी,2
न्यायालयीन,2
शांततेचे,2
कॅमेरोन,2
उथप्पा,2
घोडदळाला,2
युद्धामधील,2
ईतर,2
प्रियदर्शिनी,2
कर्मवीर,2
लक्ष्मीरतन,2
महाविद्यालयीन,2
नागपूराच्या,2
जंक्शन,2
आंतराष्ट्रीय,2
कान्नो,2
मच्छीमार,2
स्थानकाच्या,2
सर्बियन,2
एकेका,2
लेक्झिंग्टनवरून,2
मिनिटांनी,2
फ्रांत्स,2
जयंतराव,2
गाड्यांची,2
अंत्यसंस्कार,2
सायना,2
टेहळ्यांना,2
संस्कार,2
दृष्टिपथ,2
नेहवाल,2
ढग,2
अलंकार,2
सुशिक्षित,2
कन्याकुमारी,2
विठोबाचे,2
अभय,2
तापमानवाढीनंतर,2
आयुर्वेदाला,2
चढवण्यासाठी,2
चढाओढ,2
पाठवण्यासाठी,2
क्षणचित्रे,2
विनाशकारी,2
जोडणाऱ्या,2
एरंडवणा,2
ओकायामा,2
महायु्द्ध,2
दुचाकीसाठी,2
अधिकाऱ्यांचे,2
वावगे,2
अफाट,2
लेक्झिंग्टनवरची,2
विभागता,2
सैन्याकडे,2
थांबतात,2
पंचायती,2
गावावर,2
पुल्लेला,2
सर्पोद्यान,2
आगीचा,2
नौकेवर,2
देवालयाच्या,2
ओडेसी,2
गोपीचंद,2
झुइकाकुला,2
तीनच्या,2
विश्वासात,2
फिल्मसिटी,2
दिसल्याचे,2
सोगदिया,2
विमानांकडून,2
दशकातील,2
अगस्त्यवनम,2
चंद्रभागेच्या,2
तिसराच,2
पुंडलिकाचे,2
शेंदुर्णी,2
पेप्पारा,2
उधळली,2
नेय्यार,2
ब्रॅन्डन,2
नील्सन,2
हालहाल,2
मालवणी,2
निघाल्यावर,2
टीबीडी,2
एसबीडी,2
शिकारीला,2
कॉजवे,2
आसपासचा,2
गायीच्या,2
टोळीच्या,2
मैदाना,2
नदीतील,2
पलीकडून,2
हायटेक,2
विभाजित,2
तीवर,2
नियोशोला,2
ब्राम्हण,2
तीवरील,2
बेससचा,2
वाटतो,2
अशोका,2
दीप,2
दर्या,2
काढताना,2
मुठेच्या,2
देखावा,2
अत्र्यांनी,2
पुष्पगिरी,2
फडशा,2
सिम्सचा,2
पुंडलीक,2
शाहिर,2
ग्रान्द,2
अमेरिकनांनी,2
घुसलेले,2
क्वार्टर,2
प्रमुखाची,2
१७च्या,2
कोल्हापुरी,2
तिकडे,2
युद्धावर,2
घोडचूक,2
इलाख्यातील,2
बॉलिवूडमध्ये,2
सिम्सला,2
वगळून,2
पन्नास,2
तुकडीचे,2
सालची,2
कॅथलिक,2
साडेसातच्या,2
लढवली,2
बुडू,2
समितीला,2
पक्षांचा,2
सोडायचे,2
८६५,2
जागांपैकी,2
शत्रूचा,2
विमानेही,2
जी४एम,2
चित्रण,2
तापमानवाढीने,2
ॲण्ड,2
मुन्नार,2
शेपर,2
ठीक,2
कवच,2
नील्सनला,2
तालुके,2
चॅन्सेलर,2
९६२,2
सोहराब,2
तिरपे,2
महाराष्ट्राने,2
अटकळ,2
बजरंग,2
घटनांमुळे,2
उद्योगही,2
भाषेची,2
शिफारसी,2
२३६,2
५४२,2
०५०,2
जिल्ह्यांतील,2
१९५६ला,2
अखिलेश,2
पोन्मुदी,2
डी३ए,2
ऐची,2
पारशी,2
नेपोलियनच्या,2
लेख२००८,2
निदानपद्धती,2
रबौलमधून,2
इनोऊने,2
लांबवर,2
समैल,2
४जलमार्ग,2
पणजोबा,2
फिलोटस,2
पहात,2
करण्याबद्दल,2
हटू,2
अनुदानित,2
२०३०,2
डेबॉइनच्या,2
स्पर्धेमध्ये,2
२गुण,2
भाषांच्या,2
रात्रीत,2
सावरायला,2
आपापला,2
गरुडस्तंभ,2
सैन्यदलाच्या,2
व्यंकटेश,2
भाविकांच्या,2
रेल्वेसाठी,2
थव्यात,2
दिवसापर्यंत,2
३विमानवाहतूक,2
चांदीचे,2
शांतपणे,2
१रस्ते,2
चळ्वळीला,2
पाहुणा,2
चितळे,2
नेस,2
टापूंना,2
नरसोबा,2
नेउन,2
बहुचर्चित,2
जैवविविध,2
तसतसा,2
काळभैरव,2
डोर्जे,2
विमानांनीही,2
विद्यापीठांशी,2
कट,2
ओवरी,2
लांबीचा,2
सभामंडपाच्या,2
रमाबाई,2
राहणार,2
फाजलअली,2
आयोगाची,2
पायरीला,2
सध्याचा,2
हलाखीच्या,2
भद्रा,2
हॅलो,2
वर्मा,2
पाउंडचे,2
त्रिराज्य,2
नक्षीकाम,2
टॉरपेडोंचे,2
टाकलेल्या,2
काळाप्रमाणे,2
२सर्वोत्तम,2
पुरवणी,2
गणतीच,2
श्यामाप्रसाद,2
मृत्यूलपविलेला,2
तयारीत,2
१९९०च्या,2
घालत,2
ए५एम,2
इतिहासइ,2
विकिट्रॅव्हेल,2
गॅझेट,2
लोकसंख्येचे,2
दीपमाळा,2
हॉटेल्सची,2
खांब,2
आभार,2
बाकरवडी,2
रशियावरील,2
आयोगाचा,2
पत्र्याने,2
आक्रमणास,2
चढवण्यास,2
रण,2
पुत्राच्या,2
सोबती,2
शिवजयंती,2
एकंदरीत,2
भागांचा,2
११चित्रदालन,2
अस्मिता,2
मंडळींनी,2
स्क्वॉड्रन,2
सव्वाबारा,2
केरळातील,2
कशीबशी,2
जया,2
काहींचा,2
आयोगाला,2
गरुड,2
कफामुळे,2
इस्लेट,2
दहापट,2
दिल्लीकडून,2
तरस,2
नववी,2
रुह्रला,2
रसायन,2
घातलेल्या,2
पळणाऱ्या,2
लेखसंग्रह,2
अर्जूनी,2
पटोले,2
दावडी,2
दीपोत्सव,2
खेळीबद्दल,2
पेडणेकर,2
पदार्पणाच्या,2
मंदिरही,2
वडलांच्या,2
निधनानंतरही,2
खारकर,2
आसामी,2
साकोली,2
कुटून,2
ट्रायटन,2
डॉल्फिन,2
भोंडकर,2
वेगासाठी,2
गाडीचा,2
बक्षी,2
भोळे,2
आवारगी,2
बना,2
लोणार,2
लेण्यांमधील,2
मालिकांमध्ये,2
१७४९,2
अध्यक्षपद,2
९४०,2
डाला,2
वर्तुळकार,2
चुक्यो,2
भेकर,2
लालचंद,2
कुचबिहार,2
तिरोडा,2
रानडुक्कर,2
हॉग,2
रेल्वेमार्गांची,2
संघा,2
पुना,2
विनू,2
बडोले,2
रोठा,2
टायटन,2
लष्करीदृष्ट्या,2
नरेन्द्र,2
अण्णाचे,2
द्वीपकल्पातील,2
फलक,2
यामागचे,2
मेलेल्या,2
महिमा,2
उद्योगाचा,2
मालिकेची,2
बर्लिनमधील,2
व्यवस्थेचा,2
रंगाचे,2
मर्थांदन,2
कुंभारे,2
सूरू,2
बुरूड,2
श्रावणी,2
फणी,2
भीमाशंकर,2
बोलले,2
बोकाखाट,2
बनलेल्या,2
खोपडे,2
उंदियानो,2
आल्बेर्तो,2
श्टार्क,2
गली,2
१७५०,2
पौषी,2
गिधाडे,2
बावनकर,2
शहरांदरम्यान,2
सलाम,2
महाराष्ट्रामधील,2
पो,2
देशांनीही,2
तुमसर,2
माडगूळकर,2
निकला,2
मगर,2
सरासीने,2
मसूद,2
यासंबंधी,2
मुसोलिनीने,2
विधिपूर्वक,2
सारंग,2
मलिकेत,2
स्मारकावरून,2
नंदकिशोर,2
चहाची,2
बावनकुळे,2
ऍडम्स,2
एडविन,2
जिंकणाऱ्या,2
प्राग,2
चंद्रशेखऱ,2
देणारे,2
माटे,2
ओडर,2
वाङ्,2
उघड्या,2
वणी,2
देवताळे,2
वरोरा,2
वाईच्या,2
वडेट्टीवार,2
कथ्थक,2
तासांनी,2
सरबत,2
चिमूर,2
बुडापेस्ट,2
उतारावर,2
देसकर,2
पश्चिमेचा,2
बेर्डने,2
ब्रह्मपुरी,2
दुर्बिणीतून,2
क्लोस,2
जमलेले,2
स्टालिन,2
भावाचे,2
झुकत,2
कुटुंबाच्या,2
मुनगंटीवार,2
कामगिरीसाठी,2
वामनराव,2
गवताने,2
कासावार,2
निलेश,2
ग्रामदेवता,2
आर्णी,2
पंतप्रधानपदी,2
टिळकांनी,2
गावची,2
१६३०,2
पाण्याने,2
दिग्रस,2
भरलेला,2
मरीआई,2
पारवेकर,2
लोगी,2
बीसीसीआय,2
वृत्तीय,2
दवाखाना,2
उघडी,2
देशातल्या,2
कल्ले,2
कालीन,2
पुरके,2
खगोल,2
कार्यक्षम,2
बनशंकरी,2
राळेगाव,2
बल्लारपूर,2
अधिकाऱ्यांची,2
गावदेवी,2
ब्रॅडलीकडे,2
जितेंद्र,2
मावळतो,2
हाताबाहेर,2
पाहिलं,2
अभिषेकी,2
सोबतीण,2
मुद्धे,2
आरमोरी,2
रामरतन,2
ओमर,2
बिरदेव,2
सु,2
नागरिकांच्या,2
आमगाव,2
पे,2
प्रसारण,2
नाट्योत्सव,2
पुणेकरांना,2
स्थापले,2
जर्मनीतली,2
विभागाच्या,2
बोपचे,2
ब्लॉकची,2
६६६,2
शिवाजीराजे,2
मेसाई,2
भागाचा,2
हुंसेंडी,2
लचका,2
श्यामकुळे,2
धोटे,2
लोकनृत्याचे,2
बिहु,2
कृष्णाई,2
राजुरा,2
अकादमीमध्ये,2
कासारदेवी,2
अत्राम,2
ठसा,2
गेडाम,2
शिक्षक,2
कडजाईमाता,2
दिवे,2
आसरा,2
पाठ्यपुस्तकातील,2
सरावासाठी,2
योगेश्वरी,2
लोकसंगीत,2
व्हा,2
अंबाबाई,2
अमृत,2
आनंदराव,2
संतांची,2
बायबल,2
वोल्फगांग,2
भरा,2
मल्लासुराचे,2
गुणकारी,2
हम,2
वस्तुतः,2
टॉकीज,2
शेखावत,2
इत्यादींपासून,2
ऑटोबान,2
जंगलाच्या,2
निशिमुरा,2
आजूबाजूला,2
योजिले,2
युइची,2
द्राक्ष,2
बाळगण्यावर,2
पीपीएमच्या,2
लक्षणीयरीत्या,2
धृतमरीचा,2
बनवलेल्या,2
रवीकुमार,2
मालिकेमधून,2
रूपाचे,2
बडनेरा,2
कीजिये,2
पास्कल,2
व्हिजन,2
कॉन्ककॅफ,2
ऋषींच्या,2
डियेगो,2
सामन्यासाठी,2
उम्मन,2
युवराजच्या,2
शैलेन्द्र,2
यावेळीही,2
पळवून,2
नागासाकीवर,2
५६७,2
परमाणुहल्ले,2
वेगावरून,2
कमलाकर,2
पुण्यभूषण,2
सितारे,2
गंभीरने,2
कोहलीसोबत,2
बत्रेस,2
पूजेचे,2
अर्चुंदिया,2
यात्रेचे,2
रत्नागिरी,2
ॲरिस,2
देवगण,2
बॉम्बचा,2
तेंडूलकरला,2
शोभा,2
खंडाकडे,2
अश्वगंधा,2
साम्राज्याशी,2
मेले,2
मार्गशीर्ष,2
गंभीरच्या,2
मणी,2
वाळा,2
थेबेसची,2
रिसोड,2
कफापासून,2
वातावरणीय,2
भैरीचा,2
लागोपाठ,2
महाराजकी,2
पासाचॉफ,2
आनंदाचा,2
कोर्टनी,2
गंभीरसोबत,2
झीलंडला,2
हरिश,2
ऑटोबानचे,2
९९५,2
करी,2
मूर्तिजापूर,2
फलंदाजांमधील,2
गुत्ता,2
दोघांचा,2
टिकवून,2
वीरेन्द्र,2
डहाके,2
१जन्म,2
याचना,2
मदतीची,2
देवळात,2
युद्धांत,2
गुळवेल,2
माराडोना,2
इंद्राची,2
खाणींमध्ये,2
अंदाजानुसार,2
जाळी,2
त्यांतल्या,2
कोरफड,2
२९०,2
सप्,2
औषधांपासून,2
झनक,2
गोषवारा,2
एकपडदा,2
ग्रंथाचा,2
आर्जेन्टिनाचा,2
मालिकांमधील,2
रस्त्यांची,2
गळती,2
फेम,2
उठा,2
तिवसा,2
बेन्क्वेरेंका,2
फ्रँक,2
लोकांसमोर,2
दौऱ्याआधी,2
साक्ष,2
पारवे,2
ताऱ्याला,2
हाताखालील,2
पडदे,2
झाकतो,2
सांगितला,2
ज्यावरून,2
दौऱ्यामध्ये,2
ब्लीकेरे,2
कुकडोलकर,2
ओलेगारियो,2
उमरेड,2
सरदाराने,2
घोडमारे,2
स्थापत्याचे,2
सौदागर,2
केदार,2
कोट,2
अमृततुल्य,2
मंजूळ,2
भरवली,2
नेने,2
सिटीप्राइड,2
संगवान,2
इंटर,2
पडोळे,2
सामन्यातही,2
रॉसेटी,2
दिनानाथ,2
संबध,2
रॉबेर्तो,2
विश्वचषकानंतर,2
बंगलोरने,2
तराजू,2
संघमित्र,2
खुपच,2
शाहजहानने,2
तिघांनाही,2
बॉर्डर,2
अपेक्षेपेक्षा,2
नसलेला,2
बागुरी,2
वजनाच्या,2
क्रमश,2
दूरवरच्या,2
पदार्थांच्या,2
उदयोन्मुळ,2
१६३८ला,2
स्क्वेअर,2
मनिला,2
वेगमर्यादा,2
छान,2
संघासाठी,2
केवलराम,2
होर्हे,2
वनवास,2
३९८,2
कृष्णम्माचारी,2
बनविताना,2
सुरक्षेसाठी,2
अडसूळ,2
अभिजीत,2
वाटतंय,2
मध्यातील,2
सारी,2
त्यापासून,2
दर्यापूर,2
देणारा,2
बाल्दासी,2
व्यापाऱ्याच्या,2
याविरूद्ध,2
यशोमती,2
मॉन्सून,2
पालाई,2
जनतापक्षाचे,2
काँमेबॉल,2
नोकर,2
मेंढरे,2
सावनेर,2
हमें,2
काटोल,2
औरंगजेबाच्या,2
हिंगणघाट,2
मंडळाने,2
डॉलरची,2
मिचेल,2
दादाराव,2
आर्वी,2
खालचा,2
बोंडे,2
सितारों,2
गैर,2
लारिओंदा,2
बायकांचे,2
मोर्शी,2
कुंभारवाडा,2
जपणे,2
सेहवागच्या,2
रिडालोस,2
कडू,2
बाणाईचे,2
बच्चू,2
अचलपूर,2
दौऱ्यातून,2
उमरखेड,2
व्हिस्चुला,2
स्टुटगार्ट,2
अवगत,2
मिरजकर,2
राहिलेले,2
घोसाळकर,2
अंदाजाप्रमाणे,2
१४००,2
११००,2
दहीसर,2
ग्रंथाच्या,2
मासांहारी,2
रसिक,2
डिव्हिजनने,2
मोटे,2
सूरु,2
ओमराजे,2
शिकारींवर,2
रचलेल्या,2
सापडते,2
विठ्ठलवाडी,2
वाकडेवाडी,2
वडारवाडी,2
तुळजापूर,2
हर्टगेनच्या,2
असण्याचे,2
हत्तीमुख,2
नेदरलँड्समध्ये,2
हांडेवाडी,2
सृजन,2
आश्चर्य,2
पाठ,2
शिशीर,2
गेंडा,2
सोडल्यावर,2
भगवद्,2
येण्याऱ्या,2
उघडून,2
नयनी,2
वरेण्य,2
वेरुळचे,2
कैलासनाथ,2
सांगळे,2
प्रांताचे,2
किनारपट्टी,2
तारासिंह,2
आंबोली,2
गुंतागुंतीची,2
शोषण,2
वनक्षेत्र,2
दरेकर,2
अध्यायसंख्या,2
शरदबाबू,2
उपासना,2
मागाठणे,2
जंगलांचे,2
छत्रीधारी,2
ज्ञानराज,2
अभयारण्याचे,2
सवयी,2
संमिश्र,2
पंकजा,2
गुऱ्हाळे,2
पुन्नक,2
संभव,2
पुरांमुळे,2
गणनेत,2
डेटा,2
लालसर,2
लावता,2
परळी,2
मुंदडा,2
पालवे,2
बसवण्यात,2
काळाचे,2
वाचस्पती,2
३३७,2
प्रांतानुसार,2
यादवबाबा,2
पुनवेचा,2
विमल,2
माळवाडी,2
केज,2
धस,2
उडत,2
काझीरंगावर,2
उमरगा,2
जंगलातून,2
वेळेवर,2
स्मृतीनुसार,2
बसवराज,2
असायची,2
औसा,2
मसाला,2
निलंगा,2
उदगीर,2
मोकाशी,2
रसायनशास्त्र,2
काळापासूनच,2
जाहीरपणे,2
ऑक्टोबरमध्ये,2
अहमदपूर,2
बजावली,2
कॅथोलिक,2
पंथाचे,2
वैजनाथ,2
त्याच्यामुळे,2
काळामध्ये,2
फळे,2
मूळच्या,2
इनिएस्ता,2
एकत्रीकरणातून,2
बदलत्या,2
पुरुषांचा,2
हिगुएन,2
वायुसेनेचे,2
वनक्षेत्राचा,2
पुतळ्यास,2
